        	        	        	        	        	        	EARNINGS	        	        	        	        	
   -2.27	   -4.07	    0.61	   -3.01	    0.62	   -1.23	    1.25	    2.47	   -2.41	    1.85	   -3.64	
    0.77	    1.45	   -7.56	  -12.59	   -6.32	  -11.51	  -18.39	  -12.58	   -4.27	  -14.14	   -6.59	
  -12.25	    7.88	   -6.05	   -0.44	   -0.45	   -0.90	  -16.52	  -34.69	   -9.13	   -2.28	    8.88	
   -4.39	   -1.57	  -14.76	   -8.52	  -10.30	   23.80	   -0.34	    1.03	    0.20	   -8.99	  -14.70	
    1.81	   -1.78	   -3.99	   -4.53	    9.49	   -6.50	    9.65	   -5.63	   -2.99	   -0.38	    0.77	
   10.19	   -7.49	    1.43	   -2.82	   -1.93	  -10.34	    6.04	   -3.63	    6.45	    9.60	   -3.23	
   -5.63	   -2.99	   -0.38	    0.77	   -0.77	   -2.32	    2.37	   -4.25	   -0.81	   -0.41	   -4.90	
    0.71	    4.60	   -0.51	   -5.95	   -8.86	  -11.71	    9.66	   -3.07	   -2.54	    0.00	    6.72	
   -5.24	   -0.85	   -1.72	    0.66	   10.85	    9.59	   -6.43	    5.92	   -5.41	    2.10	   -6.34	
    1.14	    3.95	    3.26	   -4.21	   -7.69	   -0.60	    1.80	    2.35	   -0.57	   -1.73	   -2.94	
    0.72	  -11.43	    4.03	    3.88	    1.49	   32.35	   -1.67	   -1.13	   -1.71	    2.33	    5.11	
   -0.56	   11.80	   -1.01	    5.08	   -0.97	   -3.41	   -5.56	   13.90	   -5.16	   -0.99	   -2.50	
    3.64	   -2.53	   -1.35	    1.40	   -0.09	   -0.14	   -3.92	    1.76	   -2.42	   -1.70	    2.02	
    2.30	   -1.65	   -1.40	   -1.07	    3.46	   -0.57	    0.00	   -0.59	    2.01	    1.32	   -1.63	
   -0.61	    0.31	    3.85	    0.95	   -0.38	    1.94	    1.00	   -0.99	   -0.91	    1.00	    2.79	
    2.33	   -5.60	    3.46	   -1.95	   -3.92	    4.42	    1.73	    2.84	   -0.86	   -4.45	    2.39	
    4.03	    1.23	   -5.22	    4.74	    0.00	    0.06	   -0.61	   -0.92	   -0.31	   -3.30	   -2.19	
  -10.71	    5.93	    0.95	   -0.43	    0.09	    0.00	   -1.81	    1.14	   -1.91	   -2.35	    1.59	
   -3.89	    4.59	    4.81	    1.98	    2.56	    1.81	    1.99	  -13.96	   -0.72	   -0.05	    3.25	
   -2.35	    1.59	    1.29	    2.42	   -4.04	    3.54	   -8.27	   -5.57	   -2.50	    7.03	   -5.94	
    1.20	    5.32	    3.65	   -4.74	    0.43	   -0.14	   -3.97	   -1.33	   -9.42	    0.50	    1.31	
   -1.12	    3.12	   -5.51	   -0.87	   -0.15	    2.50	    2.30	   -7.02	   -0.76	   -0.52	   -1.01	
    2.13	   -0.32	   -0.64	   -2.92	    6.01	    7.87	   -5.26	   -5.55	   -5.55	   12.78	   -3.52	
    1.56	   -2.43	    0.37	   -2.58	    2.55	   -3.32	   -1.62	   -1.36	    4.42	   -1.22	   -0.29	
    1.30	    0.83	    0.55	    0.45	    1.44	   -1.95	   -0.36	    0.27	   -0.82	    0.09	   -0.09	
   -1.66	    0.98	   -0.79	   -0.80	    1.43	   -0.97	    1.96	   -4.27	    0.46	   -1.72	   -3.69	
    4.96	   -0.80	   -0.27	    4.62	   -3.42	    1.37	    1.77	  -12.16	    0.97	    4.46	   -2.27	
    0.07	    0.98	   -0.10	   -3.47	   -0.64	    1.38	   -1.47	    5.91	    0.26	   -3.69	    5.72	
   -4.02	   -0.95	    1.60	   16.88	   -1.52	    5.10	    5.08	  -17.65	    5.61	   -4.24	   -4.19	
   -2.55	   -0.93	    2.26	   -2.76	    3.41	    2.75	    1.07	   11.99	    2.68	    4.14	    4.27	
    0.64	   -3.20	    1.10	    7.19	   -0.41	    0.20	    0.20	    7.93	    2.64	   -1.83	   -2.24	
   -0.61	    0.23	    0.84	    1.28	   -1.04	    2.04	    2.37	    5.42	   -0.89	    1.66	   -5.98	
   -3.25	   -3.23	   -1.84	   -2.31	    2.74	    2.02	    8.96	   -0.58	   -0.20	   -1.04	   -2.64	
    3.45	    0.14	    0.97	   -3.58	   -0.57	    2.22	    5.75	   -6.50	    3.26	   -2.47	    3.59	
   -2.16	    1.73	   -7.28	    2.31	    0.04	   -2.21	    3.36	    5.18	   -3.92	   -2.06	   -2.33	
    3.18	    6.94	   -4.00	    3.31	   -0.55	   -0.29	   -0.81	   -0.30	   -1.97	   -2.34	    1.70	
    1.52	    5.62	   -1.45	    2.02	   -0.88	    5.02	   -1.73	    7.62	   -4.71	   -0.07	   -2.83	
    0.10	    3.12	   -3.83	    0.53	    3.07	   -4.00	    0.33	    9.10	    6.82	   -1.23	   -6.46	
   -0.41	   -2.47	    1.10	    2.99	   -1.40	   -7.14	   -0.49	   -5.07	    3.95	    1.52	    5.62	
   10.00	    9.35	   -1.20	   -1.86	    2.23	    2.10	   -3.55	   18.67	    8.01	   -2.56	   -1.90	
   -7.81	   -2.72	    6.51	    2.78	    1.39	   -2.29	    1.17	  -13.18	    0.80	   -0.35	   -2.74	
   -0.26	    2.12	   -2.79	    2.54	    1.69	    2.94	   -8.64	   -3.74	   -1.63	    2.59	    1.75	
    0.19	   -1.94	   -4.23	   -3.16	   -1.26	    2.76	  -45.17	   16.25	    3.43	  -16.15	   -2.09	
   -5.24	    3.47	   -1.66	   -2.69	    4.53	   -3.83	   -7.26	   -3.90	   -9.15	  -11.62	   -3.52	
   10.14	   10.43	   -0.56	    1.12	    6.63	  -10.88	   29.07	   33.78	   14.14	   -9.44	    1.30	
   -7.04	   -1.52	    3.08	    3.88	  -10.92	    0.97	  -16.29	  -13.36	    9.25	    0.00	   -6.05	
   -0.72	    0.00	    2.90	    3.52	    0.00	    2.04	    4.00	   13.46	    2.26	   -0.55	    4.44	
    2.82	   -0.67	    0.32	    3.59	   -0.81	    1.78	    0.11	   -0.11	    1.37	   -3.31	   -1.87	
   -0.27	    0.08	   -0.84	    0.69	    3.57	    1.17	   -0.65	   -5.66	    1.24	   -2.98	   -1.97	
    2.82	   -0.20	    0.88	    2.44	    0.27	    0.73	    1.37	    1.50	   -3.81	   -2.12	    2.32	
   -4.32	    0.34	   -4.63	    2.92	   -1.48	   -2.17	    3.26	   -2.54	    1.58	   -0.53	    0.45	
   -1.12	   -3.98	   10.65	   -3.74	    2.78	   -2.70	    5.00	    8.47	   -0.98	  -11.82	    3.35	
   -3.37	    4.65	   -3.89	   -1.73	    4.12	    1.69	    9.44	    8.12	   -6.57	    3.52	   -0.97	
    1.25	   -0.95	   -0.10	    0.29	    3.21	    1.63	   -3.52	   -1.42	   -1.73	   -5.09	    3.30	
   -3.69	    1.89	   -0.29	   -1.29	    1.16	   -0.29	    2.06	    2.16	   -4.64	    1.25	   -0.95	
    2.74	   -8.35	    3.18	   -1.85	    0.37	    5.05	    2.13	   -1.89	    0.99	   -1.27	    0.15	
    1.71	   -2.26	    6.92	   -1.94	   -0.20	    8.29	    3.00	   -3.05	    3.14	   -1.52	   -2.49	
    1.77	   -1.56	    4.20	   -0.75	   -2.24	    0.66	    0.43	   17.30	   -4.00	   -2.59	   -0.23	
   -1.93	   -2.47	   -2.56	    1.66	    7.32	    3.55	    0.59	   -4.29	   -3.46	    4.11	   -3.87	
   -0.92	   -4.49	   -4.04	    3.20	    0.77	   -4.56	    1.13	   25.54	   -6.77	   -0.95	   -2.66	
    2.87	    6.19	   -4.52	    2.98	   -1.16	    0.18	    1.31	   -1.87	   -1.09	   -7.10	   -1.82	
    0.00	    1.23	    0.00	    1.22	    7.23	   -3.37	   -0.58	   -1.17	    2.96	   -2.87	   -1.78	
   -0.62	   -0.62	    1.25	   -5.56	    3.27	   -5.06	    4.00	    3.21	    0.62	   -3.09	    3.18	
   -1.27	    0.76	   13.57	    1.16	    1.11	   -0.10	    7.00	   -2.02	   -1.31	    1.62	   -0.33	
   -0.48	    4.93	    0.66	    0.87	    5.16	    0.08	   -6.07	    7.37	   -2.62	   -2.30	    0.24	
    2.86	   -1.33	    0.53	    0.28	   -2.35	   -4.02	   -1.04	    0.61	   -0.48	    4.93	    0.66	
   -3.86	   -0.27	   -7.62	    6.86	   -3.90	   -4.44	    3.62	    8.35	   -1.04	   -5.06	   -2.32	
    1.29	    6.59	   -3.67	    1.86	   -0.70	    2.93	   -4.25	   -5.64	   -0.05	    1.84	   -1.85	
    0.00	   -1.67	    0.85	    0.20	    5.50	   -1.43	   -4.23	   -0.24	    0.47	    0.00	    0.00	
    0.07	   -1.31	   -0.13	    2.45	   -0.65	   -0.65	    0.66	    0.00	   -2.28	    3.33	   -1.45	
    0.00	   -3.37	    6.03	    0.00	    0.00	    1.79	   -0.16	   -0.96	    0.97	   -2.40	    0.00	
    5.49	    8.16	    2.73	    1.27	   -2.62	    5.01	    0.61	    4.13	   -2.45	   -3.71	    3.35	
    4.49	    0.11	    0.45	    0.90	   -2.68	   -0.34	   -0.46	    0.12	    5.88	    0.33	   -3.15	
    5.32	    0.00	   -3.98	   -0.96	    1.61	    0.32	    4.58	    0.60	    3.00	    3.21	    6.36	
   -5.95	   -1.63	    5.15	    0.17	   -5.06	    1.29	    0.91	    1.26	   -3.91	    0.00	   -0.18	
    1.68	   -2.75	    0.94	   -3.18	    1.35	    5.90	    0.00	    0.90	   -1.43	   -1.99	    0.37	
    7.11	   -0.77	    0.64	   -3.45	    0.53	    3.69	    4.19	   -5.37	   -0.64	    3.76	   -4.37	
    0.79	    1.30	    2.96	    1.75	   -4.42	    0.90	   -1.15	    1.16	    1.02	    0.25	    2.01	
    0.00	    0.00	    0.00	    0.00	    5.68	    0.35	   -2.42	    0.00	    6.02	    0.00	   -4.84	
    4.42	   -2.20	    9.88	   -2.21	   -0.81	    6.67	   -5.40	    2.55	    3.71	   -3.79	   -0.79	
   -0.48	    0.42	    3.54	    3.52	   -0.03	   -0.48	   -0.21	    7.19	    5.31	   -2.17	   -0.09	
    0.15	    1.40	   -1.29	    1.75	   -0.73	    1.21	    1.65	    1.77	    1.43	    0.81	    2.97	
    0.46	    2.22	   -1.53	   -2.18	    2.58	   -0.48	   -4.19	    0.00	    1.32	    1.37	    1.74	
   -7.69	   -9.72	    6.15	   34.78	    2.15	   -4.21	    3.30	   -4.26	    4.44	   -4.26	   -5.56	
    3.19	  -22.68	    2.67	   -1.30	   -3.95	   -3.29	   16.15	   18.29	   -6.80	    9.51	   -7.07	
   12.16	    1.20	   16.67	   14.29	   -8.04	   -5.83	    4.12	   -1.98	  -10.10	    5.62	    3.19	
    9.30	    2.13	    2.08	    8.16	   18.87	   15.87	   34.25	  -16.33	   21.95	   12.00	   -5.36	
    9.36	    1.28	    1.76	    5.33	   -4.66	    4.69	   -6.52	    0.70	   -4.34	    0.80	   -3.34	
    4.75	   -6.29	   -0.07	   -1.66	    0.59	   -1.09	    0.74	  -27.40	   -5.15	    9.79	    7.36	
   11.60	   -6.39	    4.35	    3.21	    1.61	   -0.98	   -7.78	   -8.43	   -6.58	    2.58	    6.94	
    0.36	   -4.27	    4.09	    2.86	   -1.39	   32.39	   -2.13	   -5.43	   -1.15	  -15.12	    5.48	
   10.08	   -1.41	    0.71	   -4.96	    5.97	   -3.52	  -13.14	   -4.20	  -14.47	    4.10	   17.24	
  -15.12	    5.48	   -5.19	   19.18	    1.72	   -5.08	   -2.38	   -8.84	   -7.69	   -3.62	   -3.76	
    2.09	    1.69	    0.30	    1.46	   -0.50	    2.69	    0.82	   -3.22	   -1.24	    1.41	    2.03	
    1.12	   -1.00	    5.53	   -0.48	    0.96	    0.63	   -2.88	    3.23	    0.84	    0.93	   -0.56	
    3.24	    1.43	   -1.87	    0.74	   -0.32	   -2.59	    0.47	   -0.09	    0.76	    0.89	    0.14	
    0.00	   -1.48	    2.43	    5.12	    2.61	   -5.59	   -0.54	   -0.18	    0.00	   -0.36	    1.27	
    7.96	    3.26	   -0.83	   -3.02	    1.90	   -1.86	    0.17	   -0.86	    1.22	   -0.69	    1.73	
   -4.04	    0.49	   -2.10	    0.66	   -5.24	   -2.94	   -3.02	    0.00	   -1.83	    1.12	   -0.55	
    0.61	   -3.75	    0.96	   -0.59	    1.34	   -0.09	   -0.30	   -5.89	   -7.39	   -0.61	    1.37	
   -1.41	   -3.04	    3.56	   -3.59	   -3.51	    2.73	    1.56	    8.20	   -2.03	   -3.80	    1.83	
    3.85	  -14.81	    1.45	   -4.29	    2.99	   -1.45	  113.24	  -13.79	   10.40	   -4.35	    4.55	
    2.46	  -12.00	    0.91	   -6.31	    1.92	   -2.83	    2.91	   -5.66	   -1.00	   -6.06	   -7.53	
    4.27	    1.44	   -3.08	    1.10	   -0.85	    1.59	    1.20	    0.71	    3.07	   -3.09	   13.93	
   10.51	    2.00	   -0.25	    0.62	   -5.75	    0.26	   -7.58	    1.06	    2.63	    0.27	    1.08	
    2.63	    0.27	    1.08	   -2.66	    0.14	    6.15	   -1.67	   -3.01	   -0.13	   -1.22	    0.55	
   -7.25	    4.32	   -2.57	    2.68	   -0.09	   -3.40	   -1.99	   10.69	    6.41	    0.43	   -1.01	
   -1.79	   -0.70	    1.05	    3.94	    1.75	   -0.41	    3.50	   -5.48	   -1.77	   -0.60	    3.75	
    0.42	    2.28	    1.16	   -0.25	    0.03	   -1.27	   -6.16	   -4.99	    2.43	   -0.41	   -0.59	
    2.28	   -1.03	   -2.15	    1.78	    2.29	   -0.81	    0.34	   -5.34	    2.38	    0.19	    0.42	
   -0.27	   -2.60	   -0.58	    1.10	   -3.57	    1.06	   -4.64	    0.48	   -1.17	    1.07	   -1.31	
    4.03	    6.66	   -2.37	    1.70	    2.07	   -3.12	   -0.32	    0.08	    1.94	   -0.55	   -1.03	
    0.40	   -2.88	   -5.85	    1.92	    0.34	   -0.86	    0.69	    4.71	   -2.05	    2.01	   -2.70	
    5.30	   -0.72	    1.09	    1.43	   -1.77	   -1.08	   -7.27	    8.24	   -2.17	   -1.48	   -4.14	
    2.62	   -1.82	    0.37	    0.74	   -0.74	   -4.07	   -2.32	   -5.53	    2.51	    1.22	    0.00	
   -2.17	   -1.48	   -4.14	   -5.49	   13.28	    0.00	   -7.69	    3.97	   -6.87	   -2.05	   12.13	
   -1.74	    3.01	    2.58	    4.02	    4.51	   -1.54	   -3.91	    3.26	   -4.73	    1.49	   -8.97	
   -7.66	    2.77	   -3.65	   -2.00	    4.48	    3.12	  -25.33	  -10.38	    1.69	    4.72	    3.45	
   -2.69	   -0.50	    4.04	    4.85	    3.24	   -3.36	   25.06	   -2.23	    0.00	   -1.33	   -0.19	
   -0.12	    0.00	    1.56	   -0.11	   -0.86	    0.58	   -3.95	   -2.32	    0.12	    2.62	   -1.19	
   -0.80	    0.80	    1.29	   -0.48	   -0.30	    0.24	    0.12	   -0.61	   -1.47	   -0.12	    0.25	
   -0.77	    0.89	    0.12	   -0.24	    2.00	    2.14	    0.40	    0.34	   -0.56	   -2.32	   -0.12	
   -0.86	    2.13	   -1.23	   -5.64	    3.29	    0.71	   -3.29	   -0.91	   -1.56	    4.14	   -3.35	
    1.97	   -0.92	   -1.30	    1.07	    0.98	    1.77	   -2.61	   -1.71	   -1.49	   -2.64	   -0.86	
   -3.82	    2.18	   -4.17	   -0.14	    2.90	   -0.24	   -3.16	  -12.32	   -0.11	   -1.95	   -3.91	
  -10.91	  -16.33	    0.00	   24.39	    7.84	  -23.64	   14.29	   -6.25	   -2.22	   -6.82	    0.00	
    0.00	   13.04	    2.56	  -10.00	   -2.78	   20.00	   -5.95	   -3.80	   -5.26	   -2.78	    4.29	
    0.00	   -5.05	   -2.13	   18.48	  -10.09	   -3.06	   -7.37	   -5.68	  -16.87	    0.00	   13.04	
    2.81	    2.02	    2.91	    2.15	    5.76	    8.18	    4.55	   -1.02	  -10.02	    1.87	   -3.58	
    0.00	   -3.07	    2.35	   -3.70	   -2.18	   -3.18	    2.19	  -11.04	   -0.96	   -0.61	    3.06	
    0.31	   -1.66	   -0.84	   -0.85	   -4.72	   -6.98	    7.75	   -2.13	    4.36	    2.09	    2.26	
   -3.06	    0.25	   -0.30	    1.03	    0.97	   -0.22	   -1.93	    2.35	   -3.01	   -2.98	    1.34	
   -0.50	    0.00	    0.95	    5.45	    0.26	    2.39	   -0.08	    4.55	    5.68	   -2.00	    0.17	
   -1.86	    1.29	    9.93	    0.45	   -2.14	   -2.70	    0.40	   -8.82	   -1.16	    1.65	    3.66	
    2.25	    1.10	    1.09	    0.00	   -1.08	   -3.26	    1.12	    7.78	   -2.06	    0.00	    2.11	
   -3.23	    1.11	    3.30	    2.13	   -1.04	   -2.11	   -4.30	  -13.48	   12.99	   -1.15	   -2.33	
   -3.06	   -4.21	    1.10	   -2.17	    3.33	    2.15	   -1.05	    5.32	   -4.04	    7.37	   -1.96	
   -5.88	   -1.20	   -2.05	   -3.59	    8.45	    6.24	    2.50	   -9.97	    2.41	    5.17	   -0.93	
   -0.94	    4.19	    1.57	    2.80	    0.89	   -1.29	    0.16	   14.38	    2.44	    0.82	    1.34	
    1.10	    4.61	    3.17	   -4.34	    9.11	    0.02	    5.22	    5.80	    1.33	    0.30	   -0.26	
    2.44	   -4.76	   -2.50	   -5.13	   10.81	   -2.44	   -2.50	    2.56	  -10.00	   11.11	   -5.00	
    0.00	   -5.88	    0.00	   -6.25	    0.00	    2.22	  -23.91	   11.43	    2.56	    2.50	    2.44	
   -0.33	  -26.47	  -14.22	    9.84	   12.26	   -7.98	  -23.29	   27.98	   11.16	   -8.37	   -4.57	
   -5.53	    6.31	   -2.12	   -2.60	   11.56	    3.59	   -9.62	   -4.26	    8.44	    0.00	   -2.46	
   -8.37	   -4.57	    0.00	    0.00	   -3.83	    3.98	    4.31	    5.96	   11.26	   14.01	  -15.02	
   -0.97	    1.86	   -2.23	   -2.18	    0.42	   -1.48	    2.52	   -3.76	   -3.42	   17.44	    9.05	
    9.05	    0.09	    0.83	   -1.26	    0.48	   -0.39	    0.13	    6.11	   -0.95	   -0.54	    2.73	
   -3.88	    5.06	   -0.44	    5.72	    1.38	    0.41	   -2.84	    1.06	    1.22	   -8.34	   -9.77	
    1.13	    4.32	    3.21	    0.71	    2.19	   -0.63	    4.62	    4.90	   -0.58	   -1.63	   -2.30	
   -2.22	    0.91	    1.93	   -0.76	    3.05	   -4.74	   -3.56	   -4.36	    1.26	    1.66	   -1.91	
   -2.30	   -0.30	   -2.73	   -2.86	    2.50	    1.69	   -2.09	   -1.70	   -1.66	    1.49	    2.82	
    8.09	   -9.86	   13.96	   -6.29	   -6.01	    3.01	   -1.46	   13.70	   -2.93	   -2.01	    1.37	
    2.82	   -3.05	   -6.29	    2.01	   -1.64	    1.34	    7.26	   -6.15	   -5.25	   -5.88	    4.78	
    0.63	    4.06	   -2.40	    4.00	   -3.25	    1.04	   -5.27	    1.60	   -1.57	    1.92	    1.88	
   12.83	   -2.49	   -1.23	   -0.46	    0.79	    0.17	  -10.97	    5.51	    0.34	   -0.83	    1.67	
   -0.41	    0.06	   -0.47	    1.55	    2.21	    0.33	   -2.79	   -3.12	    2.80	   -0.13	    0.31	
   -9.52	   -4.56	   -0.27	   -4.53	   -1.26	   -3.25	    0.00	   -4.23	    0.76	   -0.45	   -4.71	
   -0.83	   -2.36	    0.99	   -2.39	    4.18	    2.90	   -4.17	    4.21	    1.62	    2.65	   -0.90	
    2.65	   -0.90	    3.52	    1.64	    2.10	    3.39	   -0.23	    7.87	   -1.09	   -0.99	    2.45	
   -7.38	   -2.18	   11.95	    4.28	   -3.44	    2.93	   -1.05	   -1.98	    2.30	    2.57	   -1.69	
    1.68	   -6.42	   -2.64	    1.19	    5.49	   -1.20	   -0.52	   32.90	    0.16	    5.72	    1.70	
    4.03	   -8.70	    1.67	    1.66	    4.27	    5.23	    0.86	   -7.84	   -6.30	   -1.48	   -0.46	
   -2.56	    5.59	    4.36	    0.90	    2.37	   -0.58	   -4.36	   -0.61	   -0.31	   -0.92	   -2.79	
   -3.66	    0.00	    0.63	    0.63	   -0.62	    6.92	    5.88	   -1.67	   -1.41	    2.01	   -0.84	
    3.49	    2.07	   -2.28	    5.19	    1.73	    0.73	    5.30	   -5.26	    3.38	   -1.40	   -1.42	
   -9.09	   -0.09	    8.25	    8.00	   -1.28	    1.93	    2.25	   -8.09	    0.46	   -0.84	    1.62	
    0.71	   -6.34	    3.86	    1.94	   -3.87	    7.21	    2.83	  -16.85	    7.72	   19.56	    2.51	
    1.41	    0.43	    4.87	   -4.64	   -2.40	    1.01	    2.99	   -1.97	    0.50	   -1.78	    1.26	
    1.57	    4.51	   -3.63	    2.83	    1.49	   -1.69	   -1.95	    1.52	   -0.12	   -1.50	   -0.82	
   -2.24	    0.22	   -4.69	    2.86	   -2.34	    2.62	   -4.66	    8.50	   -3.33	   -0.78	   -5.82	
   -6.71	    5.04	   -4.11	    2.14	    4.90	   -0.67	   -2.01	    6.16	  -10.32	    0.72	    2.14	
    3.05	   -4.44	    5.43	    1.47	    2.17	    5.67	   -4.70	    4.93	   -8.72	    9.56	   -8.05	
    3.52	   -4.76	   -0.71	    3.60	    2.78	   -3.38	   -2.10	   -5.00	   -4.51	   -4.72	    0.83	
    3.51	   -5.18	    0.85	   -1.14	   -2.86	    4.01	   -0.36	    1.51	   -1.97	   -2.73	   -0.62	
    2.11	   -4.02	    1.24	    0.77	    0.58	   -0.64	    1.73	   -1.07	   -3.06	   -0.66	   -0.13	
    1.15	   -5.66	   16.40	    5.84	   10.06	    3.24	    2.57	   -1.11	    0.56	   -4.48	   -1.17	
    0.00	   -5.67	   -1.29	   12.17	    2.33	   -4.17	   30.04	   -5.78	    9.68	   -3.82	   -2.14	
   -3.82	   -2.14	   -1.56	   -2.54	   -3.26	   -4.04	   -1.40	    5.34	   -2.03	   -4.14	   -4.68	
   -4.46	    0.06	    1.17	   -3.29	    1.31	    0.94	    6.77	   -1.09	   -6.35	    6.43	   -5.71	
    6.43	   -5.71	   11.70	   -4.16	   -5.16	    8.45	   -1.44	   -0.38	    2.01	   -5.76	    7.13	
    1.22	    1.11	    6.99	   -1.91	    0.59	   -1.89	    2.43	   -3.00	    0.18	    1.52	   -1.32	
    0.00	   -2.38	    0.00	    7.32	    2.27	    0.00	   -8.89	   -2.44	   -5.00	   -2.63	    2.70	
   -8.33	  -12.12	   13.79	  -18.18	   11.11	    0.00	   16.67	   -8.57	    0.00	   -3.13	   -1.94	
    1.23	    9.23	   -2.24	   -2.72	    6.42	   -1.26	   -1.06	    1.88	   -2.84	   -0.01	   -2.64	
   -0.58	   -1.38	   -6.77	    1.28	   -0.13	    0.03	   -3.35	    9.82	   -2.02	    1.21	    1.24	
   -0.55	    0.73	   -1.70	    1.34	    2.56	    3.04	    0.97	   -0.28	   -4.18	    2.09	   -1.93	
   -0.13	   -0.53	   -0.99	    1.07	    2.31	   -4.90	   -8.30	   -2.48	   -0.76	   -0.19	   -0.38	
    1.24	   -1.68	    0.04	   -4.05	   -1.26	    0.12	    0.40	    4.06	   -4.32	    0.80	    2.73	
   -0.81	   -1.12	   -1.39	   -3.59	   -0.75	   -0.76	    8.72	   -4.36	   -3.36	    4.48	   -3.60	
   -1.72	    0.94	   -3.05	    2.49	   -3.41	    1.55	    2.13	   -0.47	   -0.09	   -1.71	   -1.35	
   -0.26	    6.14	   -1.54	   -2.24	    0.52	    2.45	   -1.80	   -0.85	   -1.29	   -0.17	   -3.32	
    1.64	    3.52	   -3.03	    2.60	   -0.08	   -0.42	   -0.51	   -1.49	   -1.30	   -1.76	   -1.16	
    1.23	   -4.17	    0.95	   -1.98	    1.79	    0.00	   -0.45	   -0.45	   -1.14	   -4.14	   -0.48	
    0.78	   -2.82	    2.37	   -0.05	   -2.01	    3.26	    8.05	   -3.30	   -5.37	  -17.78	    4.08	
   -2.10	   -0.71	   -4.32	   -2.26	   -1.54	    0.78	   11.89	   -1.62	    4.46	    2.25	   -4.62	
   -6.50	    0.22	   -0.22	   10.09	   -1.63	   -2.69	    0.00	   -1.49	    0.43	   -1.94	    1.54	
    0.65	    5.79	   -5.07	    4.49	   -1.43	   -1.66	    1.90	   -2.69	   -6.60	   -0.68	    1.38	
    3.46	   -2.56	    0.27	    0.87	    0.07	   -0.07	   -0.86	    6.44	    0.88	   -0.06	   -0.56	
   -0.81	   -1.50	   -0.28	   -1.39	    1.69	    0.35	    2.56	    2.09	   -1.19	   -1.40	   -1.08	
    5.14	   -1.11	   -1.47	    0.97	   -2.53	   11.00	   -4.51	    4.81	    2.98	    0.23	    5.46	
    4.67	    0.79	   -0.36	   -5.65	   -0.30	    7.23	    2.20	   -7.50	    2.33	   -3.67	    7.08	
   -6.04	   -2.69	    7.23	   -4.16	    7.03	    4.26	   -1.88	   -3.69	   -6.24	   -0.83	    2.36	
   -1.32	    2.68	   -4.78	    0.91	    1.36	   -1.79	   -4.09	  -30.81	   -2.05	    1.40	   -9.66	
    3.77	   -0.56	   -1.97	    3.72	    3.31	  -10.43	   -1.49	   -8.18	   -4.95	   -0.35	   -5.57	
   -5.57	    0.00	    2.95	  -13.98	    2.92	    0.40	   -4.84	   -6.10	   -6.59	    6.28	   -3.64	
   -1.16	   -1.27	   -0.77	    2.37	   -0.67	    0.70	   -6.10	    1.29	    0.90	   -1.66	    3.57	
   -2.77	    0.92	   -1.18	   -1.53	    2.03	   11.90	    6.99	   -0.63	   -7.87	    3.23	   -0.48	
    2.26	   -0.53	    2.59	   -2.26	   -0.31	    2.23	  -14.11	   -0.96	    0.80	   -1.31	   -0.89	
    1.77	  -10.43	   -5.83	    5.15	   -3.92	   33.67	    8.40	    0.00	    2.11	  -14.48	    1.61	
    2.19	    0.74	    2.78	    2.32	    2.18	    0.26	   -2.50	    8.85	   -3.74	    0.30	    3.61	
    0.22	    0.90	    0.33	    0.21	   -0.97	    0.96	  -10.48	   -1.81	    0.79	   -1.22	    0.53	
