        	        	        	        	        	        	EARNINGS	        	        	        	        	
  -10.71	   -5.42	   -4.52	   -4.93	   -4.84	   -4.84	   -6.57	   -5.50	   -7.31	   -9.48	   -8.05	
   -2.35	   -0.80	    0.49	    2.92	   -1.24	    2.26	   -6.20	  -11.43	  -13.64	   -7.57	  -13.06	
   -3.89	    0.52	    5.36	    7.44	   10.19	   12.18	   14.41	   -1.56	   -2.27	   -2.32	    0.85	
    2.13	    1.80	    1.15	   -1.80	    4.10	   12.30	    6.39	    0.49	   -5.08	    7.05	    3.28	
   -1.12	    1.97	   -3.65	   -4.49	   -4.63	   -2.25	    0.00	   -7.02	   -7.72	   -8.20	   -9.13	
    1.20	    6.58	   10.46	    5.23	    5.68	    5.53	    1.35	    0.00	   -9.42	   -8.97	   -7.77	
    1.30	    2.14	    2.70	    3.16	    4.65	    2.60	    2.23	    2.51	    1.67	    1.77	    1.67	
   -1.66	   -0.70	   -1.48	   -2.27	   -0.87	   -1.83	    0.09	   -4.19	   -3.75	   -5.41	   -8.90	
    1.56	   -0.92	   -0.55	   -3.11	   -0.64	   -3.94	   -5.49	   -6.78	   -2.66	   -3.85	   -4.12	
   -4.02	   -4.93	   -3.41	   12.89	   11.17	   16.84	   22.78	    1.11	    6.78	    2.26	   -2.02	
    0.07	    1.05	    0.95	   -2.55	   -3.17	   -1.83	   -3.27	    2.45	    2.71	   -1.08	    4.58	
    4.96	    4.12	    3.84	    8.64	    4.92	    6.36	    8.24	   -4.92	   -4.00	    0.28	   -2.00	
    0.64	   -2.58	   -1.50	    5.58	    5.15	    5.36	    5.58	   13.95	   16.95	   14.81	   12.23	
   -2.55	   -3.45	   -1.27	   -4.00	   -0.73	    2.00	    3.09	   15.45	   18.55	   23.45	   28.73	
    3.45	    3.60	    4.60	    0.86	    0.29	    2.52	    8.42	    1.37	    4.68	    2.09	    5.76	
   -3.25	   -6.37	   -8.10	  -10.23	   -7.77	   -5.91	    2.52	    1.93	    1.73	    0.66	   -1.99	
   -0.61	   -0.38	    0.46	    1.75	    0.68	    2.73	    5.16	   10.86	    9.87	   11.69	    5.01	
    3.18	   10.35	    5.93	    9.43	    8.83	    8.52	    7.64	    7.32	    5.21	    2.75	    4.50	
   -2.16	   -0.47	   -7.72	   -5.59	   -5.55	   -7.65	   -4.54	    0.40	   -3.53	   -5.52	   -7.72	
    1.52	    7.22	    5.67	    7.79	    6.84	   12.21	   10.27	   18.67	   13.08	   13.00	    9.81	
   -0.41	   -2.87	   -1.80	    1.14	   -0.28	   -7.40	   -7.85	  -12.52	   -9.06	   -7.68	   -2.49	
    0.10	    3.23	   -0.72	   -0.20	    2.86	   -1.25	   -0.92	    8.10	   15.47	   14.06	    6.68	
   10.00	   20.29	   18.85	   16.63	   19.23	   21.73	   17.40	   39.33	   50.48	   46.63	   43.85	
   -0.26	    1.85	   -0.99	    1.52	    3.24	    6.28	   -2.91	   -6.54	   -8.06	   -5.68	   -4.03	
   -7.81	  -10.32	   -4.48	   -1.82	   -0.46	   -2.73	   -1.59	  -14.57	  -13.88	  -14.19	  -16.54	
    0.19	   -1.75	   -5.91	   -8.89	  -10.03	   -7.55	  -49.31	  -41.08	  -39.05	  -48.89	  -49.96	
   -5.24	   -1.95	   -3.58	   -6.18	   -1.93	   -5.69	  -12.53	  -15.95	  -23.63	  -32.51	  -34.88	
   10.14	   21.62	   20.95	   22.30	   30.41	   16.22	   50.00	  100.68	  129.05	  107.43	  110.14	
   -0.72	   -0.72	    2.16	    5.76	    5.76	    7.91	   12.23	   27.34	   30.22	   29.50	   35.25	
   -7.04	   -8.45	   -5.63	   -1.97	  -12.68	  -11.83	  -26.20	  -36.06	  -30.14	  -30.14	  -34.37	
    2.82	    2.61	    3.51	    6.04	    6.33	    7.10	    8.57	   10.20	    6.00	    3.76	    6.16	
    2.82	    2.12	    2.45	    6.12	    5.27	    7.14	    7.27	    7.14	    8.61	    5.02	    3.06	
   -0.27	   -0.19	   -1.02	   -0.34	    3.22	    4.43	    3.75	   -2.12	   -0.91	   -3.87	   -5.76	
   -4.32	   -3.99	   -8.43	   -5.76	   -7.16	   -9.17	   -6.21	   -8.60	   -7.16	   -7.65	   -7.24	
   -1.12	   -5.06	    5.06	    1.12	    3.93	    1.12	    6.18	   15.17	   14.04	    0.56	    3.93	
   -3.37	    1.12	   -2.81	   -4.49	   -0.56	    1.12	   10.67	   19.66	   11.80	   15.73	   14.61	
    1.25	    0.29	    0.19	    0.48	    3.71	    5.40	    1.69	    0.24	   -1.49	   -6.51	   -3.42	
    2.74	   -5.84	   -2.84	   -4.64	   -4.29	    0.55	    2.69	    0.75	    1.75	    0.45	    0.60	
   -3.69	   -1.87	   -2.15	   -3.41	   -2.29	   -2.57	   -0.56	    1.59	   -3.13	   -1.91	   -2.85	
    1.77	    0.18	    4.39	    3.61	    1.29	    1.95	    2.39	   20.10	   15.29	   12.30	   12.05	
   -1.93	   -4.36	   -6.81	   -5.26	    1.68	    5.29	    5.91	    1.37	   -2.14	    1.88	   -2.06	
    1.71	   -0.58	    6.30	    4.25	    4.03	   12.66	   16.03	   12.50	   16.03	   14.27	   11.42	
    2.87	    9.24	    4.31	    7.42	    6.18	    6.37	    7.76	    5.75	    4.60	   -2.83	   -4.60	
   -0.92	   -5.37	   -9.20	   -6.29	   -5.57	   -9.87	   -8.86	   14.42	    6.68	    5.66	    2.86	
    0.00	    1.23	    1.23	    2.47	    9.88	    6.17	    5.56	    4.32	    7.41	    4.32	    2.47	
   -0.62	   -1.23	    0.00	   -5.56	   -2.47	   -7.41	   -3.70	   -0.62	    0.00	   -3.09	    0.00	
   -0.48	    4.43	    5.12	    6.03	   11.50	   11.58	    4.82	   12.54	    9.59	    7.07	    7.33	
    2.86	    1.49	    2.03	    2.32	   -0.08	   -4.10	   -5.10	   -4.52	   -4.97	   -0.29	    0.37	
   -1.27	   -0.51	   12.98	   14.29	   15.56	   15.44	   23.52	   21.02	   19.44	   21.38	   20.98	
    1.29	    7.97	    4.01	    5.94	    5.20	    8.29	    3.68	   -2.16	   -2.21	   -0.41	   -2.26	
   -3.86	   -4.12	  -11.42	   -5.35	   -9.04	  -13.08	   -9.94	   -2.42	   -3.44	   -8.32	  -10.45	
    0.07	   -1.24	   -1.37	    1.05	    0.39	   -0.26	    0.39	    0.39	   -1.90	    1.37	   -0.10	
    0.00	   -3.37	    2.47	    2.47	    2.47	    4.30	    4.13	    3.13	    4.13	    1.63	    1.63	
    0.00	   -1.67	   -0.83	   -0.63	    4.83	    3.33	   -1.03	   -1.27	   -0.80	   -0.80	   -0.80	
    5.49	   14.09	   17.21	   18.69	   15.58	   21.36	   22.11	   27.15	   24.04	   19.44	   23.44	
    5.32	    5.32	    1.13	    0.16	    1.77	    2.10	    6.77	    7.42	   10.65	   14.19	   21.45	
    4.49	    4.61	    5.08	    6.03	    3.19	    2.84	    2.36	    2.48	    8.51	    8.87	    5.44	
    1.68	   -1.12	   -0.19	   -3.36	   -2.05	    3.73	    3.73	    4.66	    3.17	    1.12	    1.49	
   -5.95	   -7.48	   -2.72	   -2.55	   -7.48	   -6.29	   -5.44	   -4.25	   -7.99	   -7.99	   -8.16	
    0.79	    2.10	    5.12	    6.96	    2.23	    3.15	    1.97	    3.15	    4.20	    4.47	    6.57	
    7.11	    6.29	    6.98	    3.28	    3.83	    7.66	   12.18	    6.16	    5.47	    9.44	    4.65	
    4.42	    2.12	   12.21	    9.73	    8.85	   16.11	    9.84	   12.64	   16.81	   12.39	   11.50	
    0.00	    0.00	    0.00	    0.00	    5.68	    6.04	    3.48	    3.48	    9.71	    9.71	    4.40	
   -0.48	   -0.05	    3.48	    7.13	    7.09	    6.58	    6.36	   14.00	   20.05	   17.45	   17.34	
    0.15	    1.55	    0.24	    1.99	    1.25	    2.47	    4.16	    6.00	    7.51	    8.39	   11.61	
    0.46	    2.69	    1.12	   -1.09	    1.46	    0.98	   -3.25	   -3.25	   -1.97	   -0.63	    1.09	
   12.16	   13.51	   32.43	   51.35	   39.19	   31.08	   36.49	   33.78	   20.27	   27.03	   31.08	
    3.19	  -20.21	  -18.09	  -19.15	  -22.34	  -24.89	  -12.77	    3.19	   -3.83	    5.32	   -2.13	
   -7.69	  -16.67	  -11.54	   19.23	   21.79	   16.67	   20.51	   15.38	   20.51	   15.38	    8.97	
    9.30	   11.63	   13.95	   23.26	   46.51	   69.77	  127.91	   90.70	  132.56	  160.47	  146.51	
    9.36	   10.76	   12.71	   18.72	   13.18	   18.49	   10.76	   11.54	    6.71	    7.57	    3.98	
   11.60	    4.47	    9.01	   12.51	   14.33	   13.21	    4.40	   -4.40	  -10.69	   -8.39	   -2.03	
    4.75	   -1.84	   -1.91	   -3.54	   -2.97	   -4.04	   -3.33	  -29.82	  -33.43	  -26.91	  -21.53	
  -15.12	  -10.47	  -15.12	    1.16	    2.91	   -2.33	   -4.65	  -13.08	  -19.77	  -22.67	  -25.58	
    0.36	   -3.93	    0.00	    2.86	    1.43	   34.29	   31.43	   24.29	   22.86	    4.29	   10.00	
   10.08	    8.53	    9.30	    3.88	   10.08	    6.20	   -7.75	  -11.63	  -24.42	  -21.32	   -7.75	
    2.09	    3.82	    4.13	    5.65	    5.13	    7.95	    8.84	    5.34	    4.03	    5.49	    7.64	
    3.24	    4.72	    2.77	    3.53	    3.20	    0.52	    1.00	    0.91	    1.67	    2.58	    2.72	
    1.12	    0.11	    5.65	    5.14	    6.15	    6.82	    3.75	    7.10	    7.99	    9.00	    8.38	
    7.96	   11.48	   10.56	    7.22	    9.26	    7.22	    7.41	    6.48	    7.78	    7.04	    8.89	
   -4.04	   -3.58	   -5.60	   -4.98	   -9.95	  -12.60	  -15.24	  -15.24	  -16.80	  -15.86	  -16.33	
    0.00	   -1.48	    0.92	    6.09	    8.86	    2.77	    2.21	    2.03	    2.03	    1.66	    2.95	
    0.61	   -3.16	   -2.24	   -2.82	   -1.51	   -1.60	   -1.89	   -7.67	  -14.49	  -15.01	  -13.85	
   -1.41	   -4.42	   -1.01	   -4.56	   -7.91	   -5.40	   -3.92	    3.95	    1.85	   -2.02	   -0.23	
    2.46	   -9.84	   -9.02	  -14.75	  -13.11	  -15.57	  -13.11	  -18.03	  -18.85	  -23.77	  -29.51	
    3.85	  -11.54	  -10.26	  -14.10	  -11.54	  -12.82	   85.90	   60.26	   76.92	   69.23	   76.92	
   10.51	   12.72	   12.45	   13.14	    6.64	    6.92	   -1.19	   -0.14	    2.49	    2.77	    3.87	
    2.63	    2.91	    4.02	    1.25	    1.39	    7.62	    5.82	    2.63	    2.49	    1.25	    1.80	
    4.27	    5.77	    2.51	    3.64	    2.76	    4.39	    5.65	    6.40	    9.66	    6.27	   21.08	
   -7.25	   -3.25	   -5.74	   -3.21	   -3.29	   -6.58	   -8.44	    1.35	    7.84	    8.31	    7.21	
   -1.79	   -2.48	   -1.45	    2.43	    4.23	    3.80	    7.43	    1.54	   -0.26	   -0.85	    2.86	
    2.28	    1.22	   -0.96	    0.80	    3.11	    2.28	    2.63	   -2.85	   -0.55	   -0.35	    0.06	
   -0.27	   -2.86	   -3.42	   -2.36	   -5.84	   -4.85	   -9.26	   -8.83	   -9.89	   -8.93	  -10.13	
    0.42	    2.70	    3.89	    3.64	    3.67	    2.35	   -3.96	   -8.75	   -6.53	   -6.92	   -7.47	
    0.40	   -2.49	   -8.19	   -6.43	   -6.10	   -6.91	   -6.27	   -1.85	   -3.86	   -1.93	   -4.58	
    4.03	   10.96	    8.33	   10.17	   12.45	    8.94	    8.59	    8.68	   10.78	   10.17	    9.03	
    5.30	    4.55	    5.68	    7.20	    5.30	    4.17	   -3.41	    4.55	    2.27	    0.76	   -3.41	
   -2.17	   -3.62	   -7.61	  -12.68	   -1.09	   -1.09	   -8.70	   -5.07	  -11.59	  -13.41	   -2.90	
    2.62	    0.75	    1.12	    1.87	    1.12	   -3.00	   -5.24	  -10.49	   -8.24	   -7.12	   -7.12	
   -2.69	   -3.18	    0.73	    5.62	    9.05	    5.38	   31.78	   28.85	   28.85	   27.14	   26.89	
   -7.66	   -5.11	   -8.58	  -10.40	   -6.39	   -3.47	  -27.92	  -35.40	  -34.31	  -31.20	  -28.83	
   -1.74	    1.22	    3.83	    8.00	   12.87	   11.13	    6.78	   10.26	    5.04	    6.61	   -2.96	
   -0.77	    0.12	    0.24	    0.00	    2.00	    4.18	    4.60	    4.95	    4.36	    1.94	    1.83	
   -0.12	   -0.12	    1.45	    1.33	    0.46	    1.04	   -2.95	   -5.20	   -5.09	   -2.60	   -3.76	
   -0.80	    0.00	    1.29	    0.80	    0.49	    0.74	    0.86	    0.25	   -1.23	   -1.35	   -1.10	
   -0.86	    1.25	    0.00	   -5.64	   -2.54	   -1.85	   -5.08	   -5.95	   -7.41	   -3.58	   -6.81	
   -3.82	   -1.73	   -5.83	   -5.96	   -3.23	   -3.46	   -6.51	  -18.02	  -18.12	  -19.71	  -22.85	
    1.97	    1.02	   -0.29	    0.78	    1.76	    3.56	    0.86	   -0.86	   -2.34	   -4.92	   -5.74	
  -10.91	  -25.45	  -25.45	   -7.27	    0.00	  -23.64	  -12.73	  -18.18	  -20.00	  -25.45	  -25.45	
    0.00	   -5.05	   -7.07	   10.10	   -1.01	   -4.04	  -11.11	  -16.16	  -30.30	  -30.30	  -21.21	
    0.00	   13.04	   15.94	    4.35	    1.45	   21.74	   14.49	   10.14	    4.35	    1.45	    5.80	
    2.81	    4.89	    7.95	   10.27	   16.63	   26.16	   31.91	   30.56	   17.48	   19.68	   15.40	
    0.00	   -3.07	   -0.79	   -4.46	   -6.54	   -9.51	   -7.53	  -17.74	  -18.53	  -19.03	  -16.55	
    0.31	   -1.35	   -2.19	   -3.02	   -7.60	  -14.05	   -7.39	   -9.37	   -5.41	   -3.43	   -1.25	
   -3.06	   -2.81	   -3.11	   -2.10	   -1.15	   -1.37	   -3.28	   -1.00	   -3.99	   -6.85	   -5.60	
   -0.50	   -0.50	    0.45	    5.92	    6.20	    8.74	    8.65	   13.59	   20.04	   17.64	   17.83	
   -1.86	   -0.59	    9.28	    9.77	    7.42	    4.53	    4.95	   -4.31	   -5.42	   -3.86	   -0.35	
   -3.06	   -7.14	   -6.12	   -8.16	   -5.10	   -3.06	   -4.08	    1.02	   -3.06	    4.08	    2.04	
    2.25	    3.37	    4.49	    4.49	    3.37	    0.00	    1.12	    8.99	    6.74	    6.74	    8.99	
   -3.23	   -2.15	    1.08	    3.23	    2.15	    0.00	   -4.30	  -17.20	   -6.45	   -7.53	   -9.68	
   -5.88	   -7.01	   -8.92	  -12.18	   -4.76	    1.19	    3.72	   -6.62	   -4.37	    0.57	   -0.37	
   -0.94	    3.21	    4.83	    7.77	    8.73	    7.33	    7.50	   22.96	   25.97	   27.00	   28.70	
    1.10	    5.76	    9.12	    4.39	   13.89	   13.91	   19.86	   26.81	   28.49	   28.88	   28.54	
    2.44	   -2.44	   -4.88	   -9.76	    0.00	   -2.44	   -4.88	   -2.44	  -12.20	   -2.44	   -7.32	
    0.00	   -5.88	   -5.88	  -11.76	  -11.76	   -9.80	  -31.37	  -23.53	  -21.57	  -19.61	  -17.65	
   -5.53	    0.43	   -1.70	   -4.26	    6.81	   10.64	    0.00	   -4.26	    3.83	    3.83	    1.28	
   -8.37	  -12.55	  -12.55	  -12.55	  -15.90	  -12.55	   -8.79	   -3.35	    7.53	   22.59	    4.18	
   -0.33	  -26.71	  -37.13	  -30.94	  -22.48	  -28.66	  -45.28	  -29.97	  -22.15	  -28.66	  -31.92	
   -0.97	    0.87	   -1.38	   -3.53	   -3.12	   -4.55	   -2.15	   -5.83	   -9.05	    6.80	   16.47	
   -3.88	    0.98	    0.54	    6.29	    7.76	    8.21	    5.13	    6.24	    7.54	   -1.43	  -11.06	
    9.05	    9.15	   10.06	    8.67	    9.20	    8.76	    8.91	   15.57	   14.46	   13.84	   16.95	
    1.13	    5.50	    8.89	    9.66	   12.06	   11.35	   16.50	   22.21	   21.51	   19.53	   16.78	
   -2.22	   -1.33	    0.57	   -0.19	    2.85	   -2.03	   -5.51	   -9.63	   -8.49	   -6.97	   -8.75	
   -2.30	   -2.60	   -5.25	   -7.96	   -5.66	   -4.07	   -6.08	   -7.67	   -9.20	   -7.85	   -5.25	
    2.82	   -0.31	   -6.58	   -4.70	   -6.27	   -5.02	    1.88	   -4.39	   -9.40	  -14.73	  -10.66	
    0.63	    4.72	    2.20	    6.29	    2.83	    3.90	   -1.57	    0.00	   -1.57	    0.31	    2.20	
    8.09	   -2.57	   11.03	    4.04	   -2.21	    0.74	   -0.74	   12.87	    9.56	    7.35	    8.82	
   12.83	   10.02	    8.67	    8.16	    9.01	    9.20	   -2.77	    2.58	    2.93	    2.08	    3.78	
   -0.41	   -0.34	   -0.81	    0.72	    2.95	    3.29	    0.41	   -2.73	    0.00	   -0.13	    0.19	
    2.65	    1.72	    5.30	    7.02	    9.27	   12.98	   12.72	   21.59	   20.26	   19.07	   21.99	
   -9.52	  -13.65	  -13.88	  -17.78	  -18.81	  -21.44	  -21.44	  -24.77	  -24.20	  -24.54	  -28.10	
   -0.83	   -3.16	   -2.20	   -4.54	   -0.55	    2.34	   -1.93	    2.20	    3.85	    6.60	    5.64	
   -7.38	   -9.40	    1.43	    5.76	    2.13	    5.12	    4.02	    1.96	    4.31	    6.99	    5.18	
    1.68	   -4.84	   -7.36	   -6.25	   -1.10	   -2.29	   -2.80	   29.18	   29.38	   36.79	   39.12	
    4.03	   -5.01	   -3.43	   -1.82	    2.37	    7.73	    8.65	    0.13	   -6.18	   -7.57	   -8.00	
   -2.56	    2.88	    7.37	    8.33	   10.90	   10.26	    5.45	    4.81	    4.49	    3.53	    0.64	
    3.49	    5.63	    3.22	    8.58	   10.46	   11.26	   17.16	   10.99	   14.75	   13.14	   11.53	
   -3.66	   -3.66	   -3.05	   -2.44	   -3.05	    3.66	    9.76	    7.93	    6.40	    8.54	    7.62	
    0.71	   -5.67	   -2.03	   -0.13	   -3.99	    2.93	    5.84	  -11.99	   -5.19	   13.35	   16.20	
   -9.09	   -9.18	   -1.68	    6.19	    4.82	    6.85	    9.26	    0.42	    0.89	    0.04	    1.67	
    1.41	    1.84	    6.80	    1.84	   -0.60	    0.40	    3.41	    1.37	    1.88	    0.07	    1.34	
   -2.24	   -2.03	   -6.62	   -3.95	   -6.20	   -3.74	   -8.23	   -0.43	   -3.74	   -4.49	  -10.04	
    1.57	    6.14	    2.29	    5.18	    6.75	    4.94	    2.89	    4.46	    4.34	    2.77	    1.93	
    3.05	   -1.53	    3.82	    5.34	    7.63	   13.74	    8.40	   13.74	    3.82	   13.74	    4.58	
   -6.71	   -2.01	   -6.04	   -4.03	    0.67	    0.00	   -2.01	    4.03	   -6.71	   -6.04	   -4.03	
    3.52	   -1.41	   -2.11	    1.41	    4.23	    0.70	   -1.41	   -6.34	  -10.56	  -14.79	  -14.08	
    2.11	   -1.99	   -0.77	    0.00	    0.58	   -0.06	    1.67	    0.58	   -2.50	   -3.14	   -3.27	
    3.51	   -1.85	   -1.01	   -2.14	   -4.94	   -1.13	   -1.49	    0.00	   -1.97	   -4.65	   -5.24	
   -3.82	   -5.88	   -7.35	   -9.71	  -12.65	  -16.18	  -17.35	  -12.94	  -14.71	  -18.24	  -22.06	
    1.15	   -4.58	   11.07	   17.56	   29.39	   33.59	   37.02	   35.50	   36.26	   30.15	   28.63	
    0.00	   -5.67	   -6.88	    4.45	    6.88	    2.43	   33.20	   25.51	   37.65	   32.39	   29.55	
    1.22	    2.34	    9.49	    7.40	    8.03	    5.99	    8.57	    5.31	    5.50	    7.11	    5.70	
    6.43	    0.35	   12.09	    7.43	    1.89	   10.50	    8.91	    8.50	   10.68	    4.31	   11.74	
   -4.46	   -4.41	   -3.29	   -6.47	   -5.25	   -4.35	    2.12	    1.00	   -5.41	    0.67	   -5.08	
    0.00	   -2.38	   -2.38	    4.76	    7.14	    7.14	   -2.38	   -4.76	   -9.52	  -11.90	   -9.52	
   -8.33	  -19.44	   -8.33	  -25.00	  -16.67	  -16.67	   -2.78	  -11.11	  -11.11	  -13.89	  -15.56	
   -0.58	   -1.95	   -8.59	   -7.42	   -7.54	   -7.52	  -10.61	   -1.83	   -3.81	   -2.65	   -1.44	
    1.23	   10.58	    8.10	    5.16	   11.91	   10.49	    9.32	   11.38	    8.22	    8.20	    5.35	
   -0.13	   -0.66	   -1.64	   -0.59	    1.70	   -3.28	  -11.31	  -13.50	  -14.16	  -14.32	  -14.65	
   -0.81	   -1.92	   -3.29	   -6.76	   -7.46	   -8.16	   -0.15	   -4.50	   -7.72	   -3.58	   -7.05	
   -0.55	    0.17	   -1.53	   -0.21	    2.34	    5.46	    6.48	    6.18	    1.75	    3.88	    1.88	
    1.24	   -0.45	   -0.41	   -4.45	   -5.66	   -5.55	   -5.17	   -1.32	   -5.58	   -4.83	   -2.23	
   -1.72	   -0.80	   -3.83	   -1.43	   -4.79	   -3.32	   -1.26	   -1.72	   -1.81	   -3.49	   -4.79	
    1.64	    5.22	    2.03	    4.69	    4.60	    4.16	    3.63	    2.08	    0.75	   -1.02	   -2.17	
   -0.26	    5.86	    4.23	    1.89	    2.42	    4.93	    3.04	    2.16	    0.84	    0.66	   -2.69	
    0.78	   -2.07	    0.26	    0.21	   -1.81	    1.40	    9.56	    5.94	    0.26	  -17.57	  -14.21	
    1.23	   -2.99	   -2.07	   -4.01	   -2.29	   -2.29	   -2.73	   -3.17	   -4.27	   -8.23	   -8.67	
    0.65	    6.48	    1.08	    5.62	    4.10	    2.38	    4.32	    1.51	   -5.18	   -5.83	   -4.54	
   -2.10	   -2.80	   -6.99	   -9.09	  -10.49	   -9.79	    0.93	   -0.70	    3.73	    6.06	    1.17	
   -6.50	   -6.29	   -6.50	    2.94	    1.26	   -1.47	   -1.47	   -2.94	   -2.52	   -4.40	   -2.94	
    3.46	    0.81	    1.09	    1.97	    2.04	    1.97	    1.09	    7.60	    8.55	    8.48	    7.87	
   -0.81	   -2.31	   -2.58	   -3.93	   -2.31	   -1.97	    0.54	    2.64	    1.42	    0.00	   -1.08	
    5.14	    3.97	    2.43	    3.43	    0.81	   11.90	    6.85	   11.99	   15.33	   15.60	   21.91	
   -6.04	   -8.57	   -1.97	   -6.04	    0.56	    4.85	    2.88	   -0.91	   -7.10	   -7.87	   -5.69	
    4.67	    5.49	    5.12	   -0.83	   -1.13	    6.02	    8.35	    0.23	    2.56	   -1.20	    5.79	
    3.77	    3.19	    1.16	    4.93	    8.41	   -2.90	   -4.35	  -12.17	  -16.52	  -16.81	  -21.45	
   -1.32	    1.32	   -3.52	   -2.64	   -1.32	   -3.08	   -7.05	  -35.68	  -37.00	  -36.12	  -42.29	
   -5.57	   -5.57	   -2.79	  -16.38	  -13.94	  -13.59	  -17.77	  -22.79	  -27.87	  -23.34	  -26.13	
   -2.77	   -1.87	   -3.03	   -4.51	   -2.58	    9.02	   16.63	   15.90	    6.78	   10.23	    9.70	
    2.26	    1.72	    4.36	    2.00	    1.68	    3.94	  -10.72	  -11.58	  -10.88	  -12.05	  -12.83	
   -1.16	   -2.41	   -3.16	   -0.86	   -1.53	   -0.84	   -6.88	   -5.68	   -4.83	   -6.41	   -3.06	
    1.77	   -8.85	  -14.16	   -9.73	  -13.27	   15.93	   25.66	   25.66	   28.32	    9.73	   11.50	
   -1.08	   -3.37	   -1.03	   -2.13	   -2.73	    1.21	   -2.11	   -2.20	    0.57	   -1.51	   -1.24	
    0.22	    1.12	    1.45	    1.67	    0.69	    1.65	   -9.00	  -10.65	   -9.95	  -11.05	  -10.58	
    2.19	    2.94	    5.81	    8.26	   10.62	   10.91	    8.14	   17.71	   13.31	   13.65	   17.76	
   -2.57	    0.68	    1.76	   -2.03	   -2.52	   -0.36	   -0.12	    7.00	    5.68	    3.06	    3.36	
