        	        	        	        	        	        	EARNINGS	        	        	        	        	
    4.59	    0.66	   -3.17	    1.36	   -0.54	   -0.54	   -1.09	    4.26	    0.26	   -3.03	   -3.26	
   -2.57	   -1.97	    0.51	    0.46	   -1.49	    0.73	    1.29	   -0.09	   -0.59	   -1.08	   -0.22	
   -2.20	    0.52	    2.39	   -0.98	   -0.05	    1.54	    0.52	    2.27	   -1.52	   -1.54	   -2.11	
    0.37	   -4.10	   -1.39	   -0.36	    4.61	   -0.23	   -0.45	    0.46	   -2.57	   -1.97	    0.51	
   -0.80	    2.62	   -0.33	   -2.50	   -0.07	    0.20	   -0.88	    0.61	    1.15	   -4.48	   -4.41	
   -2.45	    4.04	   -6.61	    3.60	   -3.80	   -2.59	    7.18	    1.73	   -0.21	   -5.00	   -1.57	
   11.43	   -2.94	   -2.93	    3.88	    2.07	   -4.98	    0.43	   -2.56	    1.09	   -6.49	    0.23	
    2.61	   -0.62	   -0.08	   -0.78	   -1.56	    2.78	    2.01	   -1.14	   -2.83	    4.10	   -5.07	
    4.10	   -5.07	    1.52	   -3.69	    4.32	    0.78	    2.79	  -14.34	   -5.55	   -2.89	   -0.38	
    6.76	   -1.67	    2.06	   -3.51	    1.54	    2.15	    1.14	   -1.65	    0.79	   -3.23	   -1.26	
    0.00	    3.90	   -1.25	   -1.27	    1.28	   -1.27	    3.85	    1.23	    0.00	   -1.22	    1.23	
   -1.32	    0.00	   -1.33	    1.35	    0.00	    2.67	    1.30	    3.08	   -1.74	    1.27	    0.00	
   -1.20	    1.22	   -1.20	    0.00	   -1.22	   -2.47	    1.27	   -1.25	    2.53	   -2.47	    2.53	
    3.00	    0.81	   -2.09	    1.48	   -1.13	    0.00	   -0.49	   -0.16	   -1.81	   -3.52	   -6.60	
   -0.55	    1.28	    3.07	   -0.70	    5.29	    2.01	    2.30	   -3.05	    0.33	   -2.64	   -2.88	
    1.55	   -4.57	    2.40	   -5.77	    1.32	   -0.65	    0.00	    2.30	   -0.64	   -0.16	    0.00	
    9.10	   -0.38	    3.23	  -17.44	    0.90	    2.93	   -4.39	  -16.55	   -7.36	   17.06	   -6.79	
    0.04	   -1.70	   -0.98	    1.94	    3.69	   -1.83	  -18.29	    0.04	   -3.31	  -22.17	    9.10	
    6.89	    1.61	    0.00	    0.92	    6.41	   -1.48	   -0.75	  -12.01	   -4.79	   -5.78	   -8.37	
   -0.19	    0.00	   -1.34	   -0.78	   -2.34	   -1.60	    1.63	    0.40	    0.20	   -0.60	    0.00	
    1.20	   -0.99	   -0.20	    1.00	   -0.79	    0.60	    0.00	    1.19	   -1.18	    0.60	   -0.55	
   -0.83	    0.07	    0.02	    0.92	    1.01	    1.33	    1.62	   -1.16	   -0.96	   -0.29	    0.35	
   -1.10	   -1.24	    2.11	    0.76	    0.84	    3.10	    2.25	    0.87	    0.09	   -0.02	    1.29	
    1.17	   -1.55	    0.66	    1.52	   -0.97	    0.00	    1.88	   -0.02	   -1.16	   -0.07	   -0.54	
   -1.49	   -2.73	    0.62	    0.31	   -0.54	    0.08	    2.41	    0.99	    0.93	   -0.25	    0.30	
   -3.91	    0.92	    0.91	   -1.06	   -0.38	    4.21	   -3.74	    0.38	   -6.84	    1.63	   -0.64	
   -1.33	    3.79	   -1.22	   -0.74	    0.25	   -0.91	    0.42	    0.25	   -0.08	   -0.41	    1.00	
   -1.74	    3.84	   -3.98	    4.59	   -4.53	   -3.26	    3.99	    2.51	   -1.15	   -2.91	   -2.70	
    1.85	    0.30	   -4.54	    1.27	   -1.10	   -0.79	    0.96	    1.42	    1.87	   -1.99	   -1.40	
    0.58	   -9.77	  -13.38	    5.15	    0.70	    0.69	    3.45	    0.00	    0.67	    8.61	   -7.32	
    2.55	   -1.99	    2.54	    1.49	    0.49	    0.00	   -0.49	   -0.98	   -8.87	   -3.24	   -1.90	
    5.26	    7.50	   -2.33	  -12.50	   -1.36	   -3.45	   -4.29	   -0.75	    0.00	   29.32	    0.00	
   -2.06	   -2.63	    5.41	   -2.56	   -1.32	    1.33	    3.95	   -6.33	    4.05	    0.00	   -1.30	
    1.35	   -4.00	   -1.11	    2.53	   -2.74	    0.00	   -8.45	    3.08	   -2.99	    1.54	    3.03	
    2.56	   -0.50	   -4.52	    1.32	    2.60	   -3.80	   -6.58	    5.63	    1.33	    0.00	   -3.95	
    0.82	   -0.82	    4.12	   -0.26	   -3.44	    3.29	    3.98	   -3.06	   -3.16	    3.53	   -2.10	
   -1.82	   -1.33	    2.15	    1.58	   -3.89	    0.27	    0.27	    2.95	   -4.17	   -6.52	    1.16	
    0.79	    1.30	    2.96	    1.75	   -4.42	    0.90	   -1.15	    1.16	    1.02	    0.25	    2.01	
    7.11	   -0.77	    0.64	   -3.45	    0.53	    3.69	    4.19	   -5.37	   -0.64	    3.76	   -4.37	
    3.08	    0.37	   -4.09	   -2.33	   -0.79	    5.60	   -2.65	   13.62	    2.40	    0.00	   -3.34	
    0.00	   -0.59	    2.07	   -2.03	  -19.53	   -2.94	    2.65	   -4.06	    3.08	    0.37	   -4.09	
   -2.59	    0.66	   -7.59	   -0.36	    6.45	    3.03	   -0.33	    8.20	   -2.12	    2.17	    2.12	
   -0.14	    1.45	    7.97	   -3.81	    0.00	   -2.17	    4.72	   -0.62	   -0.08	    0.46	   -2.15	
    0.18	    1.65	   -1.50	    1.07	   -1.00	   -0.21	    1.71	   -0.78	    2.88	    0.77	   -0.32	
   -0.40	   -2.39	   -2.24	   -0.21	   -0.42	    0.63	   -4.17	    3.04	    1.69	   -0.62	    0.42	
    3.00	   -0.83	    2.31	   -0.20	    3.08	   -3.39	    0.21	   -0.62	    0.00	   -1.45	    1.47	
   -1.01	   -0.41	    0.41	   -1.42	   -1.86	   -0.84	    0.85	   -7.14	   -0.45	    0.45	    0.45	
   -2.76	    1.31	   -5.64	    4.11	   -2.41	   -2.81	    8.39	    3.67	   -0.51	   -1.39	   -3.00	
    3.19	    1.93	   -5.00	    2.42	    0.72	    1.43	    5.37	    1.20	   -1.60	   -4.50	   -2.41	
    3.33	   -0.54	   -3.24	    3.35	    1.08	   -0.53	   -0.54	    4.86	    0.00	   -2.58	   -3.17	
   -4.02	    1.05	   -5.70	    4.40	    1.05	   -1.04	    0.00	    0.00	   -3.16	    2.17	   -1.60	
    3.03	   -1.96	    5.50	    3.79	   -1.37	    2.78	   -1.35	    3.65	   -2.64	   -0.45	    0.00	
    0.09	    0.36	    1.33	   -3.07	    0.00	   -1.81	   -0.46	   -3.24	    0.00	   -4.78	    3.52	
    8.08	   -2.59	   -4.46	    2.38	    2.80	   -2.34	    1.91	    4.30	   -1.58	   -0.30	   -2.29	
    0.07	    2.60	   -8.46	   -1.16	    2.49	    0.30	    2.05	   -7.65	    4.26	   -2.55	   -1.90	
    0.51	    0.76	   -2.26	    3.50	    0.84	   -5.17	   -1.40	    1.69	   -2.07	    0.53	    0.00	
   -3.84	   -3.21	    3.89	    4.68	    3.42	   -1.58	   -3.57	    0.00	    1.88	   -1.26	   -1.92	
   -2.91	    0.75	    2.98	    1.93	   -0.24	    0.24	   -2.36	   -3.87	    4.99	   -0.67	   -2.13	
  -12.52	    5.63	    0.13	   -3.88	    7.66	   -6.60	   -2.11	    5.90	   -3.02	    4.06	   -2.53	
   -0.33	    3.47	   -3.74	    0.27	    0.27	    0.67	   -0.86	    1.94	   -1.38	   -4.19	    6.80	
   -1.26	    0.58	   -0.89	   -9.68	    2.52	    0.83	   -2.98	   -3.93	    3.85	   -3.91	    1.33	
   -3.76	   -0.96	    6.40	    0.94	   -5.01	    4.67	   -2.38	    2.70	   -1.94	   -8.99	    1.71	
   -6.02	    1.65	    7.95	   -3.84	   -1.67	    4.88	   -3.53	    2.97	   -1.03	   -5.94	   -2.27	
    3.46	   -2.56	    0.27	    0.87	    0.07	   -0.07	   -0.86	    6.44	    0.88	   -0.06	   -0.56	
   -0.81	   -1.50	   -0.28	   -1.39	    1.69	    0.35	    2.56	    2.09	   -1.19	   -1.40	   -1.08	
    6.65	   -4.30	   -0.16	   -1.37	    3.65	   -2.86	    0.69	    3.57	   -0.33	   -3.13	   -0.78	
   -3.61	   -0.79	    7.30	    0.87	   -2.90	    3.75	    2.53	    0.46	    3.02	   -7.31	    0.75	
    6.22	   -3.23	    1.96	    3.32	   -2.23	   -0.41	    2.34	    0.59	   -2.81	   -0.27	   -0.47	
   -2.29	   -0.40	   -7.13	    2.12	   -1.68	   -0.59	    5.36	   -1.35	    2.26	   -2.55	   -3.30	
   -3.31	   -3.42	    5.25	   -1.62	    0.68	    1.50	    1.88	    5.92	   -1.86	    3.16	   -0.61	
   -1.24	   -3.40	    4.17	   -8.75	   -4.11	   -1.43	    0.72	   -0.58	    6.37	   -4.08	    7.80	
    1.26	   -0.62	    3.44	   -3.32	   -0.94	   -0.95	    0.96	    0.32	    0.31	   -0.31	   -0.94	
    2.32	    1.89	    1.48	   -1.09	    0.74	    1.47	    2.89	    3.86	    0.00	    8.78	    0.00	
   -0.19	   -1.94	    0.99	   -0.65	    0.66	   -1.63	    0.00	   -2.66	   -5.46	    1.44	    0.00	
   -1.27	   -0.64	   -0.32	    1.30	   -1.92	   -0.98	    0.33	   -1.64	    0.33	   -3.67	   -2.77	
    3.26	   -1.05	    5.32	   -4.35	    1.48	   -2.40	   -2.56	    0.77	   -1.20	    1.76	   -1.84	
    1.94	    0.84	    0.73	   -1.35	   -0.21	   -2.32	   -0.54	   -2.07	    2.11	   -3.04	   15.13	
    2.44	   -0.62	   -3.55	    2.16	   -1.80	   -1.51	    1.97	    1.50	   -1.69	   -0.97	   -2.28	
    5.69	   -2.53	   -4.55	    2.04	    1.67	   -1.97	    4.35	   -1.28	   -1.30	   -3.29	    0.68	
    1.10	    1.36	   -0.27	   -1.62	   -3.84	    1.99	   -4.75	   -3.81	    1.22	    3.31	   -2.92	
   -2.61	    3.74	   -3.00	   -0.93	    0.00	   -0.94	    3.79	   -2.74	   -1.25	   -5.38	   -2.34	
    0.99	    2.34	    2.96	   -0.28	    4.18	   -1.60	    2.81	    3.52	    0.34	   -3.48	   -0.79	
   -5.31	    3.49	   -1.87	   -2.99	    4.29	    1.16	    2.92	   -1.63	   -1.92	    4.54	    2.13	
    1.39	   -3.38	    1.25	    4.85	    0.71	    3.04	   -5.44	    0.40	    1.11	    0.71	   -0.16	
    3.61	   -4.52	   -1.62	    1.65	   -2.84	    2.64	    1.22	    0.27	   -1.07	   -4.72	    0.57	
    0.69	   -2.41	   -2.70	    7.24	   -2.25	    0.00	    0.00	    4.03	   -5.20	   -1.28	    3.43	
    0.57	    7.46	    6.68	   -2.95	   -1.01	    4.09	   -0.12	    2.46	    0.72	   -1.91	    5.22	
    2.08	    0.91	    1.68	   -5.30	    1.86	    0.92	    0.23	  -25.45	    3.34	   -0.15	    1.47	
    1.20	    1.18	    0.70	   -6.05	   -0.74	    2.99	   15.01	   -5.26	    0.89	    0.44	    2.63	
    9.91	   -1.13	   -1.14	   -2.02	    1.18	    6.98	    5.43	   10.82	   -2.33	    0.71	   -2.36	
   -2.64	    0.00	   -0.34	    3.74	   -1.64	   -1.33	    3.38	    3.27	    3.16	   -1.23	    0.31	
    0.84	   -3.33	    3.45	   -0.28	    0.84	    1.10	    3.01	    0.53	   -1.32	    0.80	   -1.59	
   -1.80	   -6.49	    2.37	    4.35	    1.39	    0.27	    4.37	   -2.88	   -0.54	   -0.81	    0.55	
    1.28	    0.00	    3.82	   -1.92	    1.96	    3.18	    0.93	   10.53	   -0.15	   -2.51	   -1.05	
   -2.33	   -4.77	    1.23	   -1.18	    0.77	    0.68	   11.62	   -1.14	   -1.14	   -3.54	    4.03	
    5.92	   -3.69	    0.97	    2.77	   -0.23	    0.01	    0.19	    0.79	   -3.51	   -1.70	   -1.50	
   -0.89	   -7.46	    2.58	    0.00	    0.31	    0.31	    6.25	   -8.24	   -1.92	   -3.59	    1.02	
    6.46	   -4.47	    3.68	    0.65	   -1.60	   -0.85	   -0.79	    1.32	   -1.63	   -1.66	   -1.01	
    0.43	   -5.82	    3.31	   -2.04	   -0.30	   -1.94	   13.39	   -2.01	   -1.78	   -4.04	   -0.87	
    1.49	   -5.58	    3.42	    1.35	   -0.59	   -0.45	   -1.35	   -2.89	   -1.10	   -0.32	   -1.43	
   -1.16	    5.88	   -1.11	    0.56	   -5.59	    0.59	    4.12	    3.95	    5.43	   -0.52	    3.63	
    2.50	    0.49	    0.00	    3.88	    5.61	    9.73	    5.65	   -4.58	   -1.60	   -1.63	   -3.31	
   -1.22	    0.62	   -1.84	   -1.25	   -1.90	   -4.52	    0.00	   12.16	    0.00	   -3.01	   16.77	
   -0.65	   -5.54	    4.14	   -0.33	   -1.00	    0.00	    7.05	  -10.66	    0.00	   -3.51	    1.45	
    1.81	    5.69	   -5.72	    3.57	    2.41	   -1.68	    1.03	    0.00	   -0.68	   -2.39	   -1.75	
   -3.05	    1.38	   -4.59	    3.51	   -1.51	   -1.53	    8.29	    2.39	   -1.17	   -0.24	   -2.73	
    0.12	    2.16	   -4.47	    4.92	   -0.35	    0.59	   -0.47	   -0.94	    0.47	   -1.18	   -2.99	
    0.00	   -0.42	   -1.67	    3.83	    0.82	   -0.30	    1.53	   -0.90	   -1.11	   -1.64	   -1.67	
   -3.96	    1.56	   -0.33	    2.20	    2.37	    2.95	    3.89	   -1.38	   -3.59	   -0.62	    0.83	
    1.51	   -4.53	    8.07	    0.11	   -1.88	   -2.73	    0.53	   -0.93	   -5.36	   -2.29	    1.90	
    2.23	   -2.60	    1.76	    1.05	   -0.79	   -2.52	    5.70	   -1.93	    1.25	   -2.58	   -3.07	
   -0.25	    9.03	   -3.75	    2.36	   -1.15	   -2.56	    0.36	   -1.07	   -4.94	   -3.17	   -2.09	
    1.59	    0.39	   -3.50	    3.23	   -0.52	    0.39	    0.52	   -1.30	    0.26	   -1.18	   -1.99	
   -1.14	    0.95	    2.33	    2.37	   -2.84	    0.73	    2.27	   -1.75	    0.29	   -6.52	   -5.13	
   10.21	   -7.45	   -2.36	    9.47	    0.38	   -4.26	    3.82	    0.75	   -0.28	    0.19	   -3.70	
    1.63	   -3.81	    1.67	   -1.03	   -1.24	    3.29	   -0.95	    0.14	   -3.34	   -1.55	   -0.43	
   -0.62	   -1.50	    0.79	   -0.89	    0.11	   -3.79	   -1.48	   -4.94	   -0.29	    3.10	    3.12	
    1.05	    3.83	   -2.96	    6.33	    9.15	    1.29	    1.47	    2.36	   -3.53	   -2.44	   -2.75	
    1.30	   -2.24	    0.60	   -4.55	    0.28	    4.47	    1.84	   -6.87	   -7.20	    4.93	   -0.12	
  -15.26	   11.80	   -4.17	  -12.46	   12.58	    0.29	   -4.69	   -3.69	    3.83	    2.15	   -6.63	
   -5.40	    0.60	   -6.68	    1.57	   -1.03	    0.44	    1.15	    7.11	   -2.65	    0.65	   -6.49	
    2.90	    6.82	   -3.69	   -0.45	    1.92	   -1.52	   -0.24	    1.52	   -0.37	   -3.54	   -1.75	
    2.08	   -3.15	   -0.57	    0.00	    2.89	    0.37	    0.19	    3.54	   -1.44	    4.01	   -4.91	
   10.75	   -2.73	   -0.88	   -2.12	    2.35	   -1.76	    1.40	   -2.09	    0.90	    0.11	   -6.91	
   -0.63	    2.21	   -0.37	    1.66	    2.72	   -1.40	    2.42	   -1.25	    2.14	    1.07	    0.14	
    0.23	    2.96	    1.73	   -1.08	    2.13	   -0.48	    0.01	    2.92	    0.07	    3.60	    1.17	
   -2.68	    0.67	    0.87	    0.66	    1.37	    2.39	   -0.10	    1.68	    2.33	   -2.45	   -1.23	
    5.05	   -1.69	   -3.01	    5.12	   -2.16	   -0.84	    2.23	    0.48	   -0.36	   -2.22	   -0.40	
    1.18	   -3.27	    0.36	    1.40	   -2.49	   -2.31	    8.17	   -3.07	    0.12	   -0.55	   -1.55	
   -2.98	    5.52	   -0.58	   33.33	    5.26	   -0.42	   -9.21	  -15.21	    1.09	    4.30	    8.76	
   -2.67	   -2.74	   -4.23	    0.00	    5.39	    2.33	   -2.27	    0.00	    0.93	    1.38	    0.00	
    0.00	   -2.80	   13.94	   -6.75	    2.26	    1.77	   -8.70	   -1.43	   -0.97	   -1.46	    6.93	
    2.87	    6.19	   -4.52	    2.98	   -1.16	    0.18	    1.31	   -1.87	   -1.09	   -7.10	   -1.82	
   -0.92	   -4.49	   -4.04	    3.20	    0.77	   -4.56	    1.13	   25.54	   -6.77	   -0.95	   -2.66	
   -1.57	    2.51	    7.76	   -0.83	   -3.06	    0.55	    2.82	    1.22	    0.83	   -0.22	    0.37	
    0.90	   -0.60	    0.07	    4.79	    9.15	    6.75	    6.50	   -2.48	    0.35	    0.00	   -0.41	
    1.36	    1.34	   -2.96	   -4.58	    2.10	    0.08	    2.64	    2.25	    0.86	   -2.10	    0.56	
    2.61	   -2.38	   -1.81	    6.17	    0.22	   -1.68	    0.55	    0.82	   -6.36	   -4.64	    0.37	
    1.12	   -4.95	    7.36	    0.72	    0.67	    1.53	    1.70	   -4.93	   -0.98	   -2.20	   -2.57	
    0.51	   -6.39	    0.62	   -0.60	   -1.64	   -3.93	    6.67	   -5.44	    3.32	   -4.63	   -0.79	
   10.34	   -4.61	   -1.34	    5.81	   -1.43	   -0.82	    3.76	   -4.90	   -2.04	    1.02	   -5.01	
    3.12	   -4.44	    3.47	    0.76	    0.24	   -0.51	   -0.91	    0.92	   -1.52	    0.72	   -2.40	
    8.94	   -7.32	    2.27	    3.39	   -2.56	   -0.45	   -0.96	    0.59	    3.21	   -1.92	    1.61	
  -13.08	   -1.33	   -4.04	   -1.40	   -3.79	    2.46	    0.00	  -20.67	    3.03	   -1.18	  -10.12	
  -19.33	   -1.52	  -21.24	    7.84	   -2.73	   -4.67	   -0.49	    0.99	   -8.78	  -10.16	    1.79	
   -3.53	   -7.93	   -5.30	   -4.20	    3.65	   25.35	   -5.62	   51.19	    3.54	   -3.04	  -19.22	
    0.63	   -5.30	    4.61	   -5.35	    1.33	    4.92	    1.87	  -15.03	   -6.14	  -19.23	    2.86	
    6.70	   -2.09	   -3.21	   -2.21	   -1.13	    2.86	   -4.44	    1.16	   -0.57	   -6.36	   -7.41	
   -1.23	    9.38	   -1.14	   -4.62	    3.64	   -1.75	   -6.55	    1.27	    6.92	   -5.29	    6.83	
   -7.32	    1.97	    6.45	   -4.85	   -1.27	   -5.16	    3.40	    3.29	   -8.92	   -8.39	   -3.05	
   -7.13	   -1.80	   -0.17	   -1.67	   -7.80	    0.92	    9.65	   -7.64	   -7.91	    2.54	   -9.33	
   -2.95	    1.52	    1.28	  -14.80	  -33.00	   40.74	    0.00	   -5.26	   -6.94	    1.79	    3.23	
   -1.96	    1.30	    0.01	   -0.80	    1.85	    2.29	    2.95	    4.05	   -1.52	   -2.86	   -0.03	
   -0.30	    0.14	   -1.55	   -5.81	    0.81	   -1.48	    0.40	    3.53	    0.15	    3.04	   -3.18	
    3.01	   -2.94	   -1.37	   -1.31	    0.08	   -1.17	    2.63	   -0.97	   -2.77	   -0.75	    1.47	
   -1.72	    0.94	   -3.05	    2.49	   -3.41	    1.55	    2.13	   -0.47	   -0.09	   -1.71	   -1.35	
   -0.26	    6.14	   -1.54	   -2.24	    0.52	    2.45	   -1.80	   -0.85	   -1.29	   -0.17	   -3.32	
    1.64	    3.52	   -3.03	    2.60	   -0.08	   -0.42	   -0.51	   -1.49	   -1.30	   -1.76	   -1.16	
    7.87	    0.73	    0.65	    0.94	    0.71	    0.57	   -0.35	   -0.21	   -0.14	    0.00	   -3.12	
    2.50	   -3.30	    3.70	    0.29	    0.28	    0.14	   -0.71	    0.36	    0.36	   -1.84	   -2.10	
    3.16	   -0.64	   -2.73	    3.24	   -1.71	    1.09	    0.65	    0.00	    0.36	   -0.36	   -2.14	
    0.71	   -0.96	   -5.66	   -2.43	    5.26	   -2.42	   -0.22	    9.24	    3.86	    3.72	   -4.69	
   -0.85	    7.56	    0.04	   -1.56	   -1.99	    0.00	    1.38	    1.14	   -1.12	   -3.41	   -1.41	
   -2.07	   -3.49	   -0.65	    5.19	    2.47	   -2.81	   -4.13	    0.65	    4.07	    0.41	   -0.61	
    0.00	    0.16	    1.67	    0.20	    4.00	   -1.35	    1.36	   -2.77	   -3.09	   -2.78	   -1.76	
    4.58	   -0.82	   -2.85	    4.60	   -1.90	   -1.20	    4.06	   -3.41	   -1.95	   -3.01	   -2.44	
   -1.84	   -0.15	   -4.58	    2.29	   -0.39	   -0.58	   13.82	   -0.59	   -1.60	   -2.87	   -3.76	
    1.59	   -7.31	    3.99	   -0.72	   -0.68	   -1.56	    1.02	    0.78	    0.09	   -4.20	   -1.76	
   -0.79	   -2.54	    6.64	    3.69	   -3.00	   -1.43	   -0.87	   -1.90	   -4.22	    1.76	    0.76	
   -1.88	    2.64	   -1.23	   -1.77	   -4.88	    1.01	   -0.13	   -1.32	    3.62	    0.00	   -0.06	
    2.83	    0.00	    0.50	   -0.06	    4.66	   -3.15	    0.49	   -2.44	    1.13	    0.56	    0.00	
    3.57	   -2.08	    1.15	    0.84	   -0.65	   -1.50	    0.24	    0.36	   -3.26	   -1.31	   -2.53	
   -1.34	   -4.23	    0.29	    0.44	   -0.06	    3.76	    0.43	   -2.21	    2.74	    0.57	    1.40	
    0.75	   -4.45	   -0.29	   -0.88	   -1.65	    2.80	   -3.35	    3.06	   -1.56	   -0.88	    2.00	
    0.00	   -1.15	    1.35	   -2.49	   -2.11	    1.10	    1.56	    0.78	    0.93	    0.36	    0.01	
   -1.00	   -4.68	    2.11	    0.21	   -0.74	   -3.46	    0.86	    8.94	   -5.77	    0.83	   -4.54	
    3.67	    8.88	   -4.10	    4.36	    3.50	    0.29	   -0.41	    5.35	    1.94	   -4.98	   -1.36	
    1.03	    2.24	    0.63	    0.99	    2.40	    0.90	    0.60	   -2.37	    2.73	    1.18	    0.29	
    2.28	   -5.99	    4.75	   -2.03	   -1.95	    3.85	    3.83	   -4.32	   -1.99	   -2.64	    1.20	
    3.36	    0.90	   -3.40	    7.04	   -1.27	    0.99	   -1.04	    3.68	   -1.41	   -2.23	   -1.87	
    0.00	    0.00	    1.89	    5.19	    0.21	   -0.98	   -0.64	   -0.04	   -1.54	   -0.25	   -5.75	
   -0.96	    1.08	   -1.26	    1.47	   -1.52	   -1.04	    7.11	    6.46	   -2.23	   -4.84	   -3.10	
    0.00	    0.36	    0.72	   -1.43	    0.36	   -1.09	   -0.37	    0.00	   -0.74	    0.37	   -0.37	
    0.37	   -0.37	    0.00	    0.00	    1.19	   -1.17	    2.59	    0.00	    0.00	   -1.81	    0.00	
   -1.85	    0.00	    0.38	    0.00	    3.00	   -3.27	    5.26	   -0.71	   -2.88	    3.33	    0.36	
    0.73	    0.87	    3.07	   -1.46	    1.99	   -1.12	    2.70	   -0.65	   -0.02	    0.14	   -4.39	
    0.48	   -4.75	    4.45	    3.31	    1.57	    1.53	   -2.76	    1.53	    1.82	   -0.84	   -5.30	
   -1.41	   -1.65	    0.78	   -6.07	    3.21	   -1.77	   -4.68	    3.89	    1.96	    0.07	   -1.78	
   -1.38	   -0.88	    0.23	    1.69	   -0.14	    0.23	    0.74	   -0.68	   -0.05	    0.69	   -0.87	
    5.75	    1.04	   12.05	   -5.11	    4.17	   -0.66	   -2.07	    0.56	   -2.66	    0.69	   -2.11	
   -0.62	   -0.62	    1.25	   -5.56	    3.27	   -5.06	    4.00	    3.21	    0.62	   -3.09	    3.18	
    0.00	    1.23	    0.00	    1.22	    7.23	   -3.37	   -0.58	   -1.17	    2.96	   -2.87	   -1.78	
    1.57	    4.51	   -3.63	    2.83	    1.49	   -1.69	   -1.95	    1.52	   -0.12	   -1.50	   -0.82	
   -2.24	    0.22	   -4.69	    2.86	   -2.34	    2.62	   -4.66	    8.50	   -3.33	   -0.78	   -5.82	
   -0.99	    0.00	    0.50	    2.48	   -0.10	    0.10	   -1.93	    1.28	   -1.85	    2.08	   -0.97	
   -0.49	   -1.96	    2.00	   -1.47	    0.50	    1.49	   -1.46	    0.50	    0.00	    0.00	   -0.10	
    0.69	    1.37	    8.78	   -3.11	    1.28	   -0.63	    0.00	   -2.17	   -6.25	   -4.86	    0.44	
   -0.71	    0.00	    3.60	    0.69	    1.38	   -0.68	   -5.48	    2.17	    6.38	   -2.00	    0.00	
    1.06	   -5.88	    1.34	   -0.22	    0.88	   -1.75	    4.01	   -2.78	   -0.88	   -1.11	    1.12	
    0.84	   -5.41	    5.27	   -0.21	   -5.44	    3.54	   -0.85	   -2.80	   -1.55	   -2.93	    1.39	
    0.39	   -0.20	   -2.16	   -1.60	   -2.65	    5.02	   -1.79	   -0.61	    5.51	   -0.19	   -3.49	
